style,category,values
*,patron_first,Aldren|Bera|Calix|Dessa|Edda|Fen|Garrick|Hester|Ivo|Joren|Ketha|Lysa|Mara|Noll|Orsik|Pella|Quill|Rusk|Sera|Tamn|Ulric|Vey|Wren|Ysra|Bram|Calia|Doran|Elspeth|Falk|Giselle|Hollin|Isolde
*,patron_last,Vale|Morrow|Thorn|Rill|Ashdown|Fenmark|Crowle|Hollis|Vane|Brindle|Marrow|Keel|Dusk|Rowan|Sable|Grint|Mire|Tallow|Rook|Hearth|Barrow|Cleft|Dane|Eaves|Fenn|Gallow|Hale|Ire|Jast|Kerr|Loom|Mast
*,faction_suffix,Brotherhood|Choir|Circle|Company|Court|Crew|Cult|Gang|Hands|House|Keepers|Kin|Knives|Order|Pack|Pilgrims|Ring|Scavengers|Sect|Sworn|Thieves|Wardens|Watch|Wretches
*,npc_trait,wounded|one-eyed|half-starved|feverish|ash-smeared|frostbitten|mildewed|oil-blackened|hook-handed|soft-spoken|shivering|smoke-blind|coughing|whispering|missing-thumbed|scarred|mud-caked|blood-spattered|grave-pale|lamp-drunk
*,npc_role,porter|guide|grave-robber|novice|prospector|smuggler|scribe|watchman|torchbearer|acolyte|mason|herbalist|singer|rat-catcher|pilgrim|scout
*,npc_condition,hiding behind a fallen screen|wedged in a crawlspace|bound to a rusted ring|living off stolen oil|too frightened to move|ready to trade one secret|half-buried under rubble|waiting for a chance to run|convinced the walls are listening|with one map worth killing for|trying to keep a wound closed|refusing to leave without the dead
*,boss_title,Abbot|Archon|Baron|Bishop|Bride|Chancellor|Dean|Keeper|King|Lady|Master|Matriarch|Mother|Overseer|Prelate|Prince|Rector|Warden
*,boss_noun,Ash|Bell|Bone|Cinder|Chain|Coffin|Frost|Glass|Gloam|Iron|Lamp|Mire|Root|Salt|Shard|Smoke|Spider|Thorn
*,boss_place,Black Choir|Broken Forge|Cold Chapel|Flood Gate|Hollow Vault|Last Barrow|Lower Nave|Old Works|Red Choir|Riven Stair|Saintless Court|Shuttered Pool|Silent Mill|Sunless Garden|Undercrypt|White Court
*,boss_trait,old vows|buried grudges|half-finished rites|hungering relics|sealed crowns|stolen names|torchless halls|unpaid dead|living chains|murderous patience|quiet authority|broken sanctity
reliquary,site_first,Ashen|Lantern|Bone|Cinder|Veiled|Sable|Sepulchral|Ember|Hallow|Choir
reliquary,site_second,Reliquary|Priory|Chapel|Crypt|Vault|Cistern|House|Archive|Processional|Shrine
